Elevation,Horizontal_Distance_To_Roadways,Wilderness_Area_Rawah,Soil_Type_C2703,Soil_Type_C2704,Soil_Type_C2705,Soil_Type_C2717,Soil_Type_C4703,Soil_Type_C8771,Soil_Type_C8772,Cover_Type
2884,5210,1,0,0,0,0,0,0,0,1
3008,443,0,0,0,0,0,0,0,0,1
2955,5251,1,0,0,0,0,0,0,0,0
3087,2337,0,0,0,0,0,0,0,0,0
3256,6109,1,0,0,0,0,0,0,0,0
2932,1209,0,0,0,0,0,0,0,0,0
3077,3395,1,0,0,0,0,0,0,0,0
2876,1747,0,0,0,0,0,0,0,0,1
2922,1064,1,0,0,0,0,0,0,0,1
2874,1020,0,0,0,0,0,1,0,0,1
3034,1571,0,0,0,0,0,0,0,0,1
2709,2970,0,0,0,0,0,1,0,0,0
2771,1033,0,0,0,0,0,0,0,0,1
3244,3391,1,0,0,0,0,0,1,0,0
2705,1806,1,0,0,0,0,0,0,0,1
2262,1595,0,0,1,0,0,0,0,0,2
3006,1289,0,0,0,0,0,0,0,0,1
3149,5246,1,0,0,0,0,0,0,0,0
2661,1516,0,0,0,0,0,0,0,0,1
3131,3034,1,0,0,0,0,0,0,0,0
2977,2466,0,0,0,0,0,0,0,0,0
2908,677,0,0,0,0,0,0,0,0,4
3283,931,0,0,0,0,0,0,0,1,1
2665,1301,0,0,0,0,0,0,0,0,1
2797,2363,0,0,0,0,0,0,0,0,1
2978,3343,1,0,0,0,0,0,0,0,0
2874,679,0,0,0,0,0,0,0,0,1
2761,842,0,0,0,0,0,0,0,0,1
2138,342,0,0,0,0,0,1,0,0,2
3204,6139,1,0,0,0,0,0,0,0,1
2935,4358,1,0,0,0,0,0,0,0,1
3006,2454,0,0,0,0,0,0,0,0,1
2932,277,0,0,0,0,0,0,0,0,4
2430,446,0,0,0,1,0,0,0,0,2
2743,1282,1,0,0,0,0,0,0,0,1
3037,4936,1,0,0,0,0,0,0,0,1
3260,2711,1,0,0,0,0,0,0,0,6
2904,3655,1,0,0,0,0,0,0,0,1
2887,1952,0,0,0,0,0,0,0,0,4
3181,1112,0,0,0,0,0,0,0,0,1
2992,1594,0,0,0,0,0,0,0,0,1
2751,1542,1,0,0,0,0,0,0,0,1
2939,3628,1,0,0,0,0,0,0,0,1
3062,1651,0,0,0,0,0,0,0,0,0
3158,1500,0,0,0,0,0,0,0,0,0
2854,3029,1,0,0,0,0,0,0,0,1
3137,1838,0,0,0,0,0,0,0,0,0
2337,1207,0,0,0,0,0,0,0,0,5
3232,684,0,0,0,0,0,0,0,0,0
3020,4380,1,0,0,0,0,0,0,0,1
3335,1924,0,0,0,0,0,0,0,0,1
2841,1261,0,0,0,0,0,0,0,0,0
3159,3841,1,0,0,0,0,0,0,0,1
2735,2434,0,0,0,1,0,0,0,0,1
3292,5971,1,0,0,0,0,0,0,0,0
3401,1383,0,0,0,0,0,0,1,0,6
2977,1466,0,0,0,0,0,0,0,0,1
3008,4393,1,0,0,0,0,0,0,0,0
3292,1585,0,0,0,0,0,0,0,0,1
3078,4725,1,0,0,0,0,0,0,0,0
2298,1382,0,0,0,0,0,1,0,0,2
2761,3048,1,0,0,0,0,0,0,0,1
3044,5836,1,0,0,0,0,0,0,0,0
2344,1605,0,1,0,0,0,0,0,0,2
